,pivot,size,it,disorder,exec_time
336,achapivo,100000,6,0.05,7.4435131549835205
337,achapivo,100000,7,0.05,7.673539400100708
338,achapivo,100000,8,0.05,4.777004718780518
339,achapivo,100000,9,0.05,7.40500283241272
340,achapivo,1000000,0,0.05,53.250449895858765
341,achapivo,1000000,1,0.05,69.943035364151
342,achapivo,1000000,2,0.05,78.9092288017273
343,achapivo,1000000,3,0.05,65.52161240577698
344,achapivo,1000000,4,0.05,69.06053829193115
345,achapivo,1000000,5,0.05,58.579001903533936
346,achapivo,1000000,6,0.05,89.21118569374084
347,achapivo,1000000,7,0.05,60.28754925727844
348,achapivo,1000000,8,0.05,68.47846031188965
349,achapivo,1000000,9,0.05,134.2883641719818
350,primeiro,100,0,0.25,0.0009882450103759766
351,primeiro,100,1,0.25,0.0010006427764892578
352,primeiro,100,2,0.25,0.0
353,primeiro,100,3,0.25,0.0
354,primeiro,100,4,0.25,0.0
355,primeiro,100,5,0.25,0.0009734630584716797
356,primeiro,100,6,0.25,0.0
357,primeiro,100,7,0.25,0.0
358,primeiro,100,8,0.25,0.001013040542602539
359,primeiro,100,9,0.25,0.0
360,primeiro,1000,0,0.25,0.004984855651855469
361,primeiro,1000,1,0.25,0.0029997825622558594
362,primeiro,1000,2,0.25,0.0050029754638671875
363,primeiro,1000,3,0.25,0.005998849868774414
364,primeiro,1000,4,0.25,0.00401759147644043
365,primeiro,1000,5,0.25,0.0059833526611328125
366,primeiro,1000,6,0.25,0.004997968673706055
367,primeiro,1000,7,0.25,0.005010366439819336
368,primeiro,1000,8,0.25,0.004015207290649414
369,primeiro,1000,9,0.25,0.0040051937103271484
370,primeiro,10000,0,0.25,0.07200002670288086
371,primeiro,10000,1,0.25,0.0989992618560791
372,primeiro,10000,2,0.25,0.08499717712402344
373,primeiro,10000,3,0.25,0.07600188255310059
374,primeiro,10000,4,0.25,0.07700109481811523
375,primeiro,10000,5,0.25,0.08900046348571777
376,primeiro,10000,6,0.25,0.07300066947937012
377,primeiro,10000,7,0.25,0.09299921989440918
378,primeiro,10000,8,0.25,0.12100052833557129
379,primeiro,10000,9,0.25,0.07699894905090332
380,primeiro,100000,0,0.25,0.8180179595947266
381,primeiro,100000,1,0.25,0.7480170726776123
382,primeiro,100000,2,0.25,0.7010207176208496
383,primeiro,100000,3,0.25,0.780001163482666
384,primeiro,100000,4,0.25,0.6990139484405518
385,primeiro,100000,5,0.25,0.7189998626708984
386,primeiro,100000,6,0.25,0.8109893798828125
387,primeiro,100000,7,0.25,0.799994707107544
388,primeiro,100000,8,0.25,0.6439776420593262
389,primeiro,100000,9,0.25,0.7459983825683594
390,primeiro,1000000,0,0.25,8.925986528396606
391,primeiro,1000000,1,0.25,10.596001386642456
392,primeiro,1000000,2,0.25,9.79200291633606
393,primeiro,1000000,3,0.25,9.098013639450073
394,primeiro,1000000,4,0.25,8.414988994598389
395,primeiro,1000000,5,0.25,9.356008052825928
396,primeiro,1000000,6,0.25,8.874006986618042
397,primeiro,1000000,7,0.25,8.08502197265625
398,primeiro,1000000,8,0.25,8.11002516746521
399,primeiro,1000000,9,0.25,9.992000341415405
400,ultimo,100,0,0.25,0.0
401,ultimo,100,1,0.25,0.0009996891021728516
402,ultimo,100,2,0.25,0.0
403,ultimo,100,3,0.25,0.0
404,ultimo,100,4,0.25,0.0010013580322265625
405,ultimo,100,5,0.25,0.0009932518005371094
406,ultimo,100,6,0.25,0.0
407,ultimo,100,7,0.25,0.0009965896606445312
408,ultimo,100,8,0.25,0.0
409,ultimo,100,9,0.25,0.001010894775390625
410,ultimo,1000,0,0.25,0.0059909820556640625
411,ultimo,1000,1,0.25,0.00401759147644043
412,ultimo,1000,2,0.25,0.003999948501586914
413,ultimo,1000,3,0.25,0.004000663757324219
414,ultimo,1000,4,0.25,0.004004001617431641
415,ultimo,1000,5,0.25,0.0030002593994140625
416,ultimo,1000,6,0.25,0.0049991607666015625
417,ultimo,1000,7,0.25,0.004000663757324219
418,ultimo,1000,8,0.25,0.004999399185180664
419,ultimo,1000,9,0.25,0.0039997100830078125
420,ultimo,10000,0,0.25,0.07097983360290527
421,ultimo,10000,1,0.25,0.07398581504821777
